,inf_mode,batch_size,sentence_length,num_unit,num_layer,epoch,precision,recall,f1
0,self,256,60,128,3,20,0.220227,0.223712,0.220231
1,self,256,60,128,2,40,0.301333,0.301381,0.299459
2,next,256,60,128,3,20,0.383101,0.382634,0.380631
3,next,256,60,128,2,80,0.397899,0.387281,0.389232
4,next,256,60,128,3,50,0.419344,0.413170,0.412968
5,next,256,60,128,2,90,0.380888,0.372544,0.373681
6,next,256,60,128,2,50,0.396390,0.386750,0.388849
7,self,256,60,128,3,30,0.233021,0.236059,0.232809
8,next,256,60,128,2,10,0.274436,0.278943,0.274725
9,self,256,60,128,2,10,0.201447,0.206187,0.202458
10,next,256,60,128,3,10,0.263503,0.266596,0.263816
11,next,256,60,128,2,70,0.384174,0.375465,0.376955
12,next,256,60,128,2,40,0.394572,0.383563,0.386072
13,self,256,60,128,2,30,0.289975,0.291025,0.288352
14,next,256,60,256,2,10,0.407226,0.401885,0.401695
15,next,256,60,128,2,100,0.377937,0.371482,0.371614
16,next,256,60,128,3,40,0.418796,0.413967,0.413371
17,next,256,60,128,2,60,0.384856,0.377987,0.378931
18,self,256,60,256,2,10,0.175555,0.181492,0.177316
19,self,256,60,128,2,50,0.291191,0.293415,0.289905
20,next,256,60,128,2,30,0.391840,0.385024,0.385587
21,self,256,60,128,2,20,0.268458,0.273500,0.269550
22,next,256,60,128,2,20,0.365498,0.360329,0.360735
23,self,256,60,128,3,10,0.182512,0.187467,0.184045
24,self,256,60,128,3,40,0.234154,0.233404,0.232180
25,next,256,60,128,3,30,0.417634,0.415693,0.414825
26,self,256,60,128,3,50,0.262189,0.266065,0.262544
