,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,precision,recall,f1
0,next,lstm,uni,256,30,256,3,20,0.553522,0.550850,0.550411
1,next,gru,uni,256,30,512,3,20,0.063723,0.065321,0.063770
2,next,lstm,uni,256,30,512,3,20,0.084400,0.087095,0.085023
3,next,lstm,uni,256,30,256,3,30,0.566581,0.559480,0.560418
4,next,gru,uni,256,30,512,3,30,0.065348,0.068242,0.066125
5,next,lstm,uni,256,30,512,3,30,0.091926,0.092937,0.091438
6,next,lstm,uni,256,30,256,3,40,0.563405,0.558019,0.559027
7,next,gru,uni,256,30,512,3,40,0.070134,0.073951,0.071012
8,next,lstm,uni,256,30,512,3,40,0.130383,0.127323,0.127495
9,next,lstm,uni,256,30,256,3,50,0.559218,0.550584,0.553093
10,next,lstm,uni,256,30,256,3,60,0.558792,0.551779,0.552912
11,next,lstm,uni,256,30,512,3,50,0.198529,0.202469,0.194997
12,next,lstm,uni,256,30,256,3,70,0.549894,0.544079,0.544812
13,next,gru,uni,256,30,512,3,60,0.071974,0.075279,0.071857
14,next,lstm,uni,256,30,512,3,60,0.341415,0.345327,0.341791
15,next,lstm,uni,256,30,256,3,80,0.551855,0.546999,0.547341
16,next,gru,uni,256,30,512,3,70,0.066170,0.070366,0.066820
17,next,lstm,uni,256,30,512,3,70,0.377945,0.375730,0.374388
18,next,lstm,uni,256,30,256,3,90,0.554348,0.545672,0.547960
19,next,lstm,uni,256,30,512,3,100,0.415106,0.413834,0.412527
20,next,lstm,uni,256,30,512,3,80,0.387266,0.382634,0.381450
21,next,lstm,uni,256,30,256,3,10,0.517875,0.516330,0.515322
22,next,gru,uni,256,30,256,3,10,0.538942,0.534121,0.533597
23,next,lstm,uni,256,30,512,3,90,0.419915,0.415560,0.415345
24,next,lstm,uni,256,30,256,3,100,0.553577,0.544742,0.547165
25,next,gru,uni,256,30,256,5,20,0.066671,0.068640,0.066868
26,next,gru,uni,256,30,256,6,30,0.063399,0.066251,0.063710
27,next,gru,uni,256,30,256,6,20,0.063210,0.065056,0.063198
28,next,gru,uni,256,30,256,4,30,0.148088,0.158789,0.148444
29,next,gru,uni,256,30,256,5,30,0.060568,0.063330,0.060996
30,next,gru,uni,256,30,256,4,40,0.162440,0.177775,0.164777
31,next,gru,uni,256,30,256,5,40,0.063676,0.066251,0.064203
32,next,gru,uni,256,30,256,6,50,0.070269,0.073287,0.070370
33,next,gru,uni,256,30,256,5,50,0.060207,0.061338,0.060005
34,next,gru,uni,256,30,256,4,70,0.229395,0.235794,0.230288
35,next,gru,uni,256,30,256,5,60,0.066837,0.069172,0.066924
36,next,gru,uni,256,30,256,6,70,0.070198,0.073686,0.070826
37,next,gru,uni,256,30,256,6,60,0.074514,0.076075,0.073664
38,next,gru,uni,256,30,256,6,80,0.069886,0.072491,0.070104
39,next,gru,uni,256,30,256,5,90,0.062741,0.065720,0.063566
40,next,gru,uni,256,30,512,3,100,0.078077,0.082714,0.078280
41,next,gru,uni,256,30,256,4,10,0.085666,0.095459,0.088037
42,next,gru,uni,256,30,256,3,100,0.557860,0.550053,0.551617
43,next,gru,uni,256,30,256,4,80,0.256253,0.261152,0.256438
44,next,gru,uni,256,30,256,5,10,0.064449,0.066782,0.064706
45,next,gru,uni,256,30,256,6,10,0.061745,0.063728,0.062114
46,next,gru,uni,256,30,256,4,90,0.283154,0.289432,0.284243
47,next,gru,uni,256,30,256,5,100,0.066135,0.068773,0.066752
48,next,gru,uni,256,30,256,5,70,0.063193,0.065321,0.063325
49,next,gru,uni,256,30,256,5,80,0.065810,0.067977,0.065966
50,next,gru,uni,256,30,256,6,100,0.076187,0.080324,0.076540
51,next,gru,bi,256,30,128,2,5,0.472082,0.469198,0.468209
52,next,lstm,uni,256,30,512,3,10,0.120007,0.123208,0.120386
53,next,gru,uni,256,30,512,3,90,0.075768,0.077934,0.075176
54,next,gru,uni,256,30,256,6,40,0.072013,0.074084,0.071296
55,next,gru,uni,256,30,256,3,20,0.563303,0.557223,0.557827
56,next,gru,uni,256,30,256,3,30,0.560780,0.554700,0.555452
57,next,gru,uni,256,30,256,3,40,0.570574,0.561338,0.563058
58,next,gru,uni,256,30,256,3,50,0.562741,0.553372,0.555141
59,next,gru,uni,256,30,256,3,60,0.572602,0.562135,0.564747
60,next,gru,uni,256,30,256,3,70,0.570088,0.561737,0.563443
61,next,gru,uni,256,30,256,3,80,0.570978,0.562799,0.564319
62,next,gru,uni,256,30,256,3,90,0.559475,0.553638,0.554372
63,next,gru,uni,256,30,256,4,100,0.285242,0.291556,0.286053
64,next,gru,uni,256,30,256,4,20,0.125318,0.128518,0.124915
