,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,accuracy,precision,recall,f_measure
0,next,gru,bi,256,,256,2,10,0.5232342007434945,0.5318167095231978,0.5232342007434945,0.5247691492020178
1,next,gru,bi,256,,128,3,45,0.5175252257036643,0.5236484779382743,0.5175252257036643,0.5185928927657402
2,self,lstm,uni,256,,256,2,10,0.3024429102496017,0.29682047017595053,0.3024429102496017,0.29810961743224856
3,next,gru,bi,256,,256,3,35,0.09944237918215613,0.09601232399066068,0.09944237918215613,0.09704491368539997
4,next,gru,uni,256,,256,3,100,0.4964152947424323,0.5003975162047768,0.4964152947424323,0.4964311388788061
5,next,gru,bi,256,,128,3,25,0.5143388210302708,0.517826279732245,0.5143388210302708,0.5140583445903238
6,next,lstm,uni,256,,128,2,30,0.5161975570897503,0.5181595664007861,0.5161975570897503,0.5147935163853123
7,next,gru,bi,256,,128,2,15,0.5408921933085502,0.5458614175774179,0.5408921933085502,0.5410157532027428
8,next,lstm,uni,256,,512,3,20,0.09293680297397769,0.09203288080338962,0.09293680297397769,0.09195276710885282
9,next,lstm,uni,256,,128,3,50,0.48154540626659587,0.4909562702908552,0.48154540626659587,0.4839508226795594
10,self,lstm,uni,256,,128,3,50,0.32687201274561867,0.3246023824550173,0.32687201274561867,0.32454262015769797
11,next,gru,uni,256,,256,3,10,0.3461232076473712,0.341975429487275,0.3461232076473712,0.34145617763138364
12,next,gru,bi,256,,256,2,40,0.5168613913967074,0.524556461710337,0.5168613913967074,0.5185028334886579
13,next,gru,uni,256,,512,3,90,0.08178438661710037,0.07984503853700514,0.08178438661710037,0.07876966931777693
14,next,gru,uni,256,,256,4,20,0.13648433351035583,0.13199843426351202,0.13648433351035583,0.130899221725657
15,next,lstm,uni,256,,128,2,40,0.5098247477429634,0.5156558937420627,0.5098247477429634,0.5107663121626572
16,next,gru,uni,256,,256,3,70,0.4520711630377058,0.45618048712458276,0.4520711630377058,0.45191922666957046
17,self,lstm,uni,256,,128,2,30,0.28053637812002125,0.2805880712170584,0.28053637812002125,0.27890574391466166
18,self,lstm,uni,256,,256,2,30,0.3315188528943176,0.32641844989865026,0.3315188528943176,0.3274801066703919
19,next,gru,bi,256,,256,2,35,0.5177907594264471,0.5236061354026283,0.5177907594264471,0.518188580642314
20,next,gru,bi,256,,256,3,50,0.10913436006372809,0.10374089400362252,0.10913436006372809,0.10526027074626212
21,next,gru,bi,256,,256,2,15,0.5236325013276686,0.5299507238774303,0.5236325013276686,0.5245652743471215
22,next,lstm,uni,256,,256,3,20,0.5630642591609134,0.5667627335004827,0.5630642591609134,0.5632617520501382
23,next,gru,uni,256,,256,4,50,0.20207116303770578,0.19214730722695425,0.20207116303770578,0.19471129168849044
24,next,gru,uni,256,,256,4,70,0.2377854487519915,0.2316195506451528,0.2377854487519915,0.23237073112396073
25,next,gru,bi,256,,256,2,20,0.5189856611789697,0.5245720146819453,0.5189856611789697,0.5192618426023058
26,next,gru,uni,256,,256,3,70,0.57129580456718,0.5810021460926189,0.57129580456718,0.5739335415875404
27,next,lstm,uni,256,,512,3,100,0.4200743494423792,0.4212683531080115,0.4200743494423792,0.4191846495423363
28,self,lstm,uni,256,,128,2,20,0.2663303239511418,0.2664028913215318,0.2663303239511418,0.26549264504122805
29,next,gru,uni,256,,256,4,80,0.26500265533722783,0.2586973520504347,0.26500265533722783,0.25890774151436113
30,next,gru,uni,256,,256,3,50,0.4915029208709506,0.4976412255288957,0.4915029208709506,0.492237140255068
31,next,gru,bi,256,,128,2,40,0.5345193839617631,0.5387010411468022,0.5345193839617631,0.5350088703757776
32,self,lstm,uni,256,,256,3,10,0.241635687732342,0.23989119687091676,0.241635687732342,0.23930663273723318
33,next,gru,uni,256,,256,3,80,0.49814126394052044,0.5038776403877181,0.49814126394052044,0.4987712485061881
34,self,lstm,uni,256,,128,3,30,0.3187732342007435,0.3174090089031018,0.3187732342007435,0.31670426763526116
35,next,lstm,uni,256,,256,3,10,0.522437599575146,0.5248667927189832,0.522437599575146,0.5222153287639077
36,self,lstm,uni,256,,256,3,40,0.3118693574083909,0.3113748776589868,0.3118693574083909,0.3104281364479928
37,next,gru,uni,256,,256,3,20,0.36457780138077533,0.36343634743653286,0.36457780138077533,0.36127892383186616
38,next,gru,uni,256,,256,3,20,0.4564524694636219,0.46298286633796837,0.4564524694636219,0.4575075428177386
39,next,lstm,uni,256,,512,3,90,0.419012214551248,0.42394389718194136,0.419012214551248,0.41895686739407
40,next,gru,uni,256,,256,3,10,0.40042485395645244,0.4041299037224005,0.40042485395645244,0.40009166319014133
41,next,gru,uni,256,,256,6,30,0.07594264471587892,0.07174818834603847,0.07594264471587892,0.070459055065871
42,next,gru,bi,256,,256,3,20,0.09930961232076474,0.09426121187213789,0.09930961232076474,0.09459010947837587
43,next,gru,uni,256,,512,3,20,0.07342007434944238,0.06931113120053252,0.07342007434944238,0.06853785178082546
44,next,gru,uni,256,,256,3,10,0.5377057886351566,0.5440994881940807,0.5377057886351566,0.5386234191078626
45,next,lstm,uni,256,,512,3,60,0.34930961232076474,0.3464441179564051,0.34930961232076474,0.3461757435172804
46,next,gru,uni,256,,256,5,40,0.07142857142857142,0.06969250058501952,0.07142857142857142,0.07004992484399493
47,next,gru,bi,256,,256,3,15,0.09851301115241635,0.09355486924632382,0.09851301115241635,0.09373835678029173
48,next,gru,uni,256,,256,3,70,0.41476367498672334,0.4192799952891757,0.41476367498672334,0.41404276367517356
